wine_id,text
1248751,"Bright, fresh, and lighter bodied with a long finish"
1248751,cherry raspberry earthy strawberry
1248751,A real big surprising Pinot Noir with a bunch of earthy chewy notes in this one.
1248751,"Excellent pinot noir, very drinkable, doesn't hit you as hard as other pinots"
1248751,"Nice cherry taste, a little earthy with just enough oak. Easy drinking red."
1248751,"Totally good Pinot for Coastal California - incredible value for the money!! Lots of well-balanced red fruit notes, along with blueberries, mineral, and dash of sea smoke. Totally surprised by how good this is!"
1248751,Great wine for the price. Delicate on the pallette. raspberry cherry berry sauce
1248751,"Red fruit: strawberry, raspberry, cherry. Contrasted with some earthy, minerality and oak. Nice smooth finish."
1248751,"Bright and fresh Sonoma Pinot. Red cherry, strawberry, raspberry, vanilla, cinnamon."
1248751,Nice Pinot Noir from California. Grapes sourced from all over California. Nice jam notes.
7122486,"Excellent Champagne! Very fine perlage that persists for a long time, elegant floral, fruity and yeasty flavours, good balance."
7122486,167eme edition. Composed around the vintage 2011. No further introduction needed. Absolutely amazing stuff  Krug ID 318034 check out the details on Krug website.
7122486,"Magnificent champagne made with Pinot noir, p meunier and Chardonnay. Blend of 11 vintages and more then 100 cuves, I cannot say it is strongly ""something"" driven. In the contrary, it is more the archetype of a NV champagne. The only defect I could find was the size of the bottle. "
7122486,"3000 A special bottle to mark the milestone. Krug ID 112008, bottled winter 2011, 134 wines blended from 12 vintages, 1990 to 2005. Med lemon w. fine bubbles. Pronounced aromas of hazelnut, vanilla, butterscotch, bruised apple, jasmine, poached pear, charred wood & caramelised peach. Developing w. brioche, honey & lemon biscuits. Dry. Amazingly rich w. butterscotch, hazelnut, almond, toast, baked lemon,red apple, pineapple, sesame, toast & brioche to a long, rich, elegant finish. Cheers everyone!"
7122486,"The Magnificent Seven (The Clash) The 166th Edition of Krugs Grande Cuve spent about 7 years on the lees developing its unique personality, depth, and preciseness. It is a blend of 140 different wines from 13 different years between 1998 and 2010, all in all 45% Pinot Noir, 39% Chardonnay and 16% Pinot Meunier. The result is a magnificient fireworks of flowers, toasted bread, hazelnut, barley sugar, gingerbread, green apple and white and yellow fruit. Five star bubbly dition after dition, after dition"
7122486,"This is heaven! A champagne from the top shelve. Very mature complex scent and taste. Compaired to other champagnes this is in another class. Full, mature, dense, delicate. So many notes, I don't know where to begin. Marcipan, nougat, chocolate is just a start. It's sweet and dry at the same time. Just delicious!"
7122486,"Whenever I try Krug I am always blown away by the depth and complexity of this wine, with a length that seems to go on forever. This wine was comprised of an extraordinary number of different wines from vintages dating back thirty years. That they do this for their non vintage wine is part of the reason the Krug brand has reached this level of quality and recognition."
7122486,"This is how we ended the night. My first Krug and all I can say is its a game changer. The best champagne  Ive had in my life thus far  Krug ID 412043 A blend of 134 (!!!) wines dating back to 1990 (!!) with the youngest from 2005 Toasted bread, white flowers, almonds, brioche, honey, crisp apple, lemon curd, DAMN!!  Exceptional"
