date,AAPL,AMZN,ARTW,EVGN,FB,GOOG,GOOGL,MSFT
1/2/20,300.35001,1898.01001,1.801,1.67,209.78,1367.37,1368.68005,160.62
1/3/20,297.42999,1874.96997,1.76,1.6,208.67,1360.66003,1361.52002,158.62
1/6/20,299.79999,1902.88,1.7901,1.59,212.60001,1394.20996,1397.81006,159.03
1/7/20,298.39001,1906.85999,1.75,1.6,213.06,1393.33997,1395.10999,157.58
1/8/20,303.19,1891.96997,1.76,1.68,215.22,1404.31995,1405.04004,160.09
1/9/20,309.63,1901.05005,1.7711,1.78,218.3,1419.82996,1419.79004,162.09
1/10/20,310.32999,1883.16003,1.84,1.8125,218.06,1429.72998,1428.95996,161.34
1/13/20,316.95999,1891.30005,1.925,1.6927,221.91,1439.22998,1440.03003,163.28
1/14/20,312.67999,1869.43994,1.873,1.6973,219.06,1430.88,1430.58997,162.13
1/15/20,311.34,1862.02002,1.8996,1.74,221.14999,1439.19995,1439.19995,163.17999
1/16/20,315.23999,1877.93994,1.95,1.705,221.77,1451.69995,1450.16003,166.17
1/17/20,318.73001,1864.71997,1.9393,1.69,222.14,1480.39001,1479.52002,167.10001
1/21/20,316.57001,1892,1.88,1.69,221.44,1484.40002,1482.25,166.5
1/22/20,317.70001,1887.45996,1.8691,1.7,221.32001,1485.94995,1484.17004,165.7
1/23/20,319.23001,1884.57996,2.1782,1.7,219.75999,1486.65002,1484.68994,166.72
1/24/20,318.31,1861.64001,1.83,-1.675,217.94,1466.70996,1466.17004,165.03999
1/27/20,308.95001,1828.33997,1.77,1.56,214.87,1433.90002,1431.72998,162.28
1/28/20,317.69,1853.25,1.82,1.58,217.78999,1452.56006,1450.5,165.46001
1/29/20,324.34,1858,1.95,1.63,223.23,1458.63,1456.69995,168.03999
1/30/20,323.87,1870.68005,1.86,1.59,209.53,1455.83997,1454.25,172.78
1/31/20,309.51001,2008.71997,1.77,1.58,201.91,1434.22998,1432.78003,170.23
2/3/20,308.66,2004.19995,1.77,1.46,204.19,1485.93994,1482.59998,174.38
2/4/20,318.85001,2049.66992,1.99,1.44,209.83,1447.06995,1445.41003,180.12
2/5/20,321.45001,2039.87,1.955,1.51,210.11,1448.22998,1446.05005,179.89999
2/6/20,325.20999,2050.22998,2,1.5,210.85001,1476.22998,1475.96997,183.63
2/7/20,320.03,2079.28003,1.9931,1.54,212.33,1479.22998,1479.10999,183.89
2/10/20,321.54999,2133.90991,2.15,1.485,213.06,1508.68005,1508.66003,188.7
2/11/20,319.60999,2150.80005,2.1,1.42,207.19,1508.79004,1510.06006,184.44
2/12/20,327.20001,2160,2.15,1.45,210.75999,1518.27002,1518.63,184.71001
2/13/20,324.87,2149.87012,2.19,1.51,213.14,1514.66003,1513.39001,183.71001
2/14/20,324.95001,2134.87012,2.42,1.51,214.17999,1520.73999,1518.72998,185.35001
2/18/20,319,2155.66992,2.3,1.5,217.8,1519.67004,1519.43994,187.23
2/19/20,323.62,2170.21997,2.25,1.5344,217.49001,1526.68994,1524.87,187.28
2/20/20,320.29999,2153.1001,2.2,1.55,214.58,1518.15002,1516.98999,184.42
2/21/20,313.04999,2095.96997,2.2364,1.55,210.17999,1485.10999,1483.45996,178.59
2/24/20,298.17999,2009.29004,2.1674,1.41,200.72,1421.58997,1419.85999,170.89
2/25/20,288.07999,1972.73999,2.14,1.3916,196.77,1388.44995,1386.31995,168.07001
2/26/20,292.64999,1979.58997,2.1243,1.4,197.2,1393.18005,1390.46997,170.17
2/27/20,273.51999,1884.30005,2.08,1.38,189.75,1318.08997,1314.94995,158.17999
2/28/20,273.35999,1883.75,2.07,1.33,192.47,1339.32996,1339.25,162.00999
3/2/20,298.81,1953.94995,2.05,1.35,196.44,1389.10999,1386.31995,172.78999
3/3/20,289.32001,1908.98999,2.07,1.37,185.89,1341.39001,1337.71997,164.50999
3/4/20,302.73999,1975.82996,2.15,1.2984,191.75999,1386.52002,1381.59998,170.55
