ID,Ticker,Title,Site,Source,Date,File Path
AAPL1,AAPL,Apple Reports First Quarter Results,https://finance.yahoo.com/news/apple-reports-first-quarter-results-213000220.html,Business Wire,19 hours ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL1.html
AAPL2,AAPL,Dan Riccio Begins a New Chapter at Apple,https://finance.yahoo.com/news/dan-riccio-begins-chapter-apple-220000212.html,Business Wire,3 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL2.html
AAPL3,AAPL,Time to Walk: An Inspiring Audio Walking Experience Comes to Apple Fitness+,https://finance.yahoo.com/news/time-walk-inspiring-audio-walking-140000029.html,Business Wire,3 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL3.html
AAPL4,AAPL,"Apple Launches Major New Racial Equity and Justice Initiative Projects to Challenge Systemic Racism, Advance Racial Equity Nationwide",https://finance.yahoo.com/news/apple-launches-major-racial-equity-120000334.html,Business Wire,15 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL4.html
AAPL5,AAPL,Monica Lozano Joins Apple’s Board of Directors,https://finance.yahoo.com/news/monica-lozano-joins-apple-board-140000569.html,Business Wire,23 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL5.html
AAPL6,AAPL,"Apple Introduces AirPods Max, the Magic of AirPods in a Stunning Over-ear Design",https://finance.yahoo.com/news/apple-introduces-airpods-max-magic-133000658.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL6.html
AAPL7,AAPL,Apple Fitness+: The future of fitness launches December 14,https://finance.yahoo.com/news/apple-fitness-future-fitness-launches-133000140.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL7.html
AAPL8,AAPL,Apple Announces Second Annual Apple Music Awards,https://finance.yahoo.com/news/apple-announces-second-annual-apple-050000476.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL8.html
AAPL9,AAPL,Apple Announces App Store Small Business Program,https://finance.yahoo.com/news/apple-announces-app-store-small-110000477.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL9.html
AAPL10,AAPL,Introducing the Next Generation of Mac,https://finance.yahoo.com/news/introducing-next-generation-mac-184400718.html,Business Wire,3 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL10.html
AAPL11,AAPL,Apple Unleashes M1,https://finance.yahoo.com/news/apple-unleashes-m1-184400527.html,Business Wire,3 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL11.html
AAPL12,AAPL,"iPhone 12 Pro Max, iPhone 12 mini, and HomePod mini available to order Friday",https://finance.yahoo.com/news/iphone-12-pro-max-iphone-140000476.html,Business Wire,3 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL12.html
AAPL13,AAPL,Apple introduces iPhone 12 Pro and iPhone 12 Pro Max with 5G,https://finance.yahoo.com/news/apple-introduces-iphone-12-pro-180700945.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL13.html
AAPL14,AAPL,Apple announces iPhone 12 and iPhone 12 mini: A new era for iPhone with 5G,https://finance.yahoo.com/news/apple-announces-iphone-12-iphone-180700675.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL14.html
AAPL15,AAPL,Apple introduces HomePod mini: A powerful smart speaker with amazing sound,https://finance.yahoo.com/news/apple-introduces-homepod-mini-powerful-171400642.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL15.html
AAPL16,AAPL,Apple Brings Online Store to India September 23,https://finance.yahoo.com/news/apple-brings-online-store-india-013000749.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL16.html
AAPL17,AAPL,"Apple Unveils All-New iPad Air with A14 Bionic, Apple’s Most Advanced Chip",https://finance.yahoo.com/news/apple-unveils-ipad-air-a14-180100916.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL17.html
AAPL18,AAPL,Apple Introduces Eighth-generation iPad with a Huge Jump in Performance,https://finance.yahoo.com/news/apple-introduces-eighth-generation-ipad-180100495.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL18.html
AAPL19,AAPL,Apple Extends the Apple Watch Experience to the Entire Family,https://finance.yahoo.com/news/apple-extends-apple-watch-experience-174100693.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL19.html
AAPL20,AAPL,Singapore and Apple Partner on National Health Initiative Using Apple Watch,https://finance.yahoo.com/news/singapore-apple-partner-national-health-174000439.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL20.html
AAPL21,AAPL,Apple Fitness+: A New Engaging and Personalized Fitness Experience Comes to Life with Apple Watch,https://finance.yahoo.com/news/apple-fitness-engaging-personalized-fitness-173900368.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL21.html
AAPL22,AAPL,Apple Watch Series 6 Delivers Breakthrough Wellness and Fitness Capabilities,https://finance.yahoo.com/news/apple-watch-series-6-delivers-173800434.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL22.html
AAPL23,AAPL,Apple One Makes Enjoying Apple Subscription Services Easier Than Ever,https://finance.yahoo.com/news/apple-one-makes-enjoying-apple-173800882.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL23.html
AAPL24,AAPL,"Apple Watch SE: The Ultimate Combination of Design, Function, and Value",https://finance.yahoo.com/news/apple-watch-se-ultimate-combination-173800749.html,Business Wire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL24.html
AAPL25,AAPL,S&P 500 Buybacks Decline 55.4% to $88.7 Billion; Significant Reductions Expected to continue in Q3 2020,https://finance.yahoo.com/news/p-500-buybacks-decline-55-141500993.html,PR Newswire,4 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL25.html
AAPL26,AAPL,Apple Marina Bay Sands Opens Thursday in Singapore,https://finance.yahoo.com/news/apple-marina-bay-sands-opens-023000098.html,Business Wire,5 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL26.html
AAPL27,AAPL,"Salesforce.com, Amgen and Honeywell International Set to Join Dow Jones Industrial Average",https://finance.yahoo.com/news/salesforce-com-amgen-honeywell-international-222300770.html,PR Newswire,5 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL27.html
AAPL28,AAPL,Apple Announces Apple Music Radio,https://finance.yahoo.com/news/apple-announces-apple-music-radio-123600122.html,Business Wire,5 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL28.html
AAPL29,AAPL,"Apple Announces Updated 27"" iMac with More Speed, More Power, and Better Webcam; Available at B&H Photo",https://finance.yahoo.com/news/apple-announces-updated-27-imac-172000899.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL29.html
AAPL30,AAPL,Phil Schiller Advances to Apple Fellow,https://finance.yahoo.com/news/phil-schiller-advances-apple-fellow-170000001.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL30.html
AAPL31,AAPL,27-inch iMac Gets a Major Update,https://finance.yahoo.com/news/27-inch-imac-gets-major-150000611.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL31.html
AAPL32,AAPL,Apple Reports Third Quarter Results,https://finance.yahoo.com/news/apple-reports-third-quarter-results-203000516.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL32.html
AAPL33,AAPL,Apple Central World Opens Friday in Thailand,https://finance.yahoo.com/news/apple-central-world-opens-friday-010000045.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL33.html
AAPL34,AAPL,Apple Commits to be 100 Percent Carbon Neutral for its Supply Chain and Products by 2030,https://finance.yahoo.com/news/apple-commits-100-percent-carbon-120000564.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL34.html
AAPL35,AAPL,The New Apple Sanlitun Opens Today,https://finance.yahoo.com/news/apple-sanlitun-opens-today-010000525.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL35.html
AAPL36,AAPL,Apple Teams Up With HBCUs to Bring Coding and Creativity Opportunities to Communities Across the US,https://finance.yahoo.com/news/apple-teams-hbcus-bring-coding-130000136.html,Business Wire,6 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL36.html
AAPL37,AAPL,Apple Reveals New Developer Technologies to Foster the Next Generation of Apps,https://finance.yahoo.com/news/apple-reveals-developer-technologies-foster-222900791.html,Business Wire,7 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL37.html
AAPL38,AAPL,Apple Announces Mac Transition to Apple Silicon,https://finance.yahoo.com/news/apple-announces-mac-transition-apple-184800737.html,Business Wire,7 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL38.html
AAPL39,AAPL,Apple Introduces macOS Big Sur with a Beautiful New Design,https://finance.yahoo.com/news/apple-introduces-macos-big-sur-182700455.html,Business Wire,7 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL39.html
AAPL40,AAPL,iPadOS 14 Introduces New Features Designed Specifically for iPad,https://finance.yahoo.com/news/ipados-14-introduces-features-designed-181000566.html,Business Wire,7 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL40.html
AAPL41,AAPL,Apple Reimagines the iPhone Experience with iOS 14,https://finance.yahoo.com/news/apple-reimagines-iphone-experience-ios-180900127.html,Business Wire,7 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL41.html
AAPL42,AAPL,"watchOS 7 Adds Significant Personalization, Health, and Fitness Features to Apple Watch",https://finance.yahoo.com/news/watchos-7-adds-significant-personalization-175600006.html,Business Wire,7 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL42.html
AAPL43,AAPL,Apple’s App Store Ecosystem Facilitated Over Half a Trillion Dollars in Commerce in 2019,https://finance.yahoo.com/news/apple-app-store-ecosystem-facilitated-210000501.html,Business Wire,7 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL43.html
AAPL44,AAPL,Apple Unveils Biggest Update to Logic Since the Launch of Logic Pro X,https://finance.yahoo.com/news/apple-unveils-biggest-logic-since-123000716.html,Business Wire,9 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL44.html
AAPL45,AAPL,Apple Awards $10 Million from Advanced Manufacturing Fund to COPAN Diagnostics,https://finance.yahoo.com/news/apple-awards-10-million-advanced-111000015.html,Business Wire,9 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL45.html
AAPL46,AAPL,Apple to Host Virtual Worldwide Developers Conference Beginning June 22,https://finance.yahoo.com/news/apple-host-virtual-worldwide-developers-160000458.html,Business Wire,9 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL46.html
AAPL47,AAPL,"Apple Updates 13-Inch MacBook Pro with Magic Keyboard, Double the Storage, and Faster Performance",https://finance.yahoo.com/news/apple-updates-13-inch-macbook-123000107.html,Business Wire,9 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL47.html
AAPL48,AAPL,Apple Reports Second Quarter Results,https://finance.yahoo.com/news/apple-reports-second-quarter-results-203000519.html,Business Wire,9 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL48.html
AAPL49,AAPL,Apple Services Now Available in More Countries Around the World,https://finance.yahoo.com/news/apple-services-now-available-more-070000788.html,Business Wire,9 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL49.html
AAPL50,AAPL,iPhone SE: A Powerful New Smartphone in a Popular Design,https://finance.yahoo.com/news/iphone-se-powerful-smartphone-popular-150000099.html,Business Wire,9 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL50.html
AAPL51,AAPL,"S&P 500 buybacks up 3.2% in Q4 2019; Full Year 2019 down 9.6% from record 2018, as companies brace for a more volatile 2020",https://finance.yahoo.com/news/p-500-buybacks-3-2-121500886.html,PR Newswire,10 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL51.html
AAPL52,AAPL,Apple Unveils New iPad Pro with Breakthrough LiDAR Scanner and Brings Trackpad Support to iPadOS,https://finance.yahoo.com/news/apple-unveils-ipad-pro-breakthrough-120000356.html,Business Wire,10 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL52.html
AAPL53,AAPL,New MacBook Air Has More to Love and is Now Just $999,https://finance.yahoo.com/news/macbook-air-more-love-now-120000195.html,Business Wire,10 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL53.html
AAPL54,AAPL,Apple’s Worldwide Developers Conference 2020 Kicks Off in June with an All-New Online Format,https://finance.yahoo.com/news/apple-worldwide-developers-conference-2020-160000959.html,Business Wire,11 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL54.html
AAPL55,AAPL,Investor Update on Quarterly Guidance,https://finance.yahoo.com/news/investor-quarterly-guidance-210000080.html,Business Wire,11 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AAPL/AAPL55.html
AMZN1,AMZN,National IPR Center and Amazon’s ‘Operation Fulfilled Action’ Target Super Bowl LV Counterfeits,https://finance.yahoo.com/news/national-ipr-center-amazon-operation-193000680.html,Business Wire,3 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN1.html
AMZN2,AMZN,Amazon Continues Investment in Tennessee with Alcoa Fulfillment Center,https://finance.yahoo.com/news/amazon-continues-investment-tennessee-alcoa-170300696.html,Business Wire,5 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN2.html
AMZN3,AMZN,Amazon.com Announces Financial Results and CEO Transition,https://finance.yahoo.com/news/amazon-com-announces-financial-results-210300332.html,Business Wire,6 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN3.html
AMZN4,AMZN,Amazon Future Engineer Launches in Canada to Inspire and Propel Students from Underserved Communities to Build Careers in Computer Science,https://finance.yahoo.com/news/mark-hutchinson-lottery-industry-pioneer-130000569.html,CNW Group,13 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN4.html
AMZN5,AMZN,"Amazon Expands Boston Tech Hub With Plans to Create 3,000 New Jobs",https://finance.yahoo.com/news/amazon-expands-boston-tech-hub-090000161.html,Business Wire,13 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN5.html
AMZN6,AMZN,Amazon.com to Webcast Fourth Quarter 2020 Financial Results Conference Call,https://finance.yahoo.com/news/amazon-com-webcast-fourth-quarter-210100873.html,Business Wire,20 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN6.html
AMZN7,AMZN,"Amazon invests in Quebec to create more than 1,000 new jobs and bring faster delivery to customers with five new facilities",https://finance.yahoo.com/news/bdc-ceo-michael-denham-minister-100000374.html,CNW Group,20 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN7.html
AMZN8,AMZN,Amazon Teams Up with Pharrell Williams’ YELLOW and Georgia Tech to Launch New Music Remix Competition to Inspire Students to Pursue Computer Science,https://finance.yahoo.com/news/amazon-teams-pharrell-williams-yellow-140000768.html,Business Wire,20 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN8.html
AMZN9,AMZN,"Amazon Expands Investment in Metro Detroit, Creates Thousands of New Jobs to Support Operations",https://finance.yahoo.com/news/amazon-expands-investment-metro-detroit-103300666.html,Business Wire,28 days ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN9.html
AMZN10,AMZN,"Amazon Launches $2 Billion Housing Equity Fund to Make Over 20,000 Affordable Homes Available for Families in Communities It Calls Home",https://finance.yahoo.com/news/amazon-launches-2-billion-housing-110000548.html,Business Wire,last month,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN10.html
AMZN11,AMZN,Amazon Continues to Expand Its Transportation Fleet With Purchased Aircraft,https://finance.yahoo.com/news/amazon-continues-expand-transportation-fleet-140100605.html,Business Wire,last month,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN11.html
AMZN12,AMZN,Amazon Announces First Fulfillment Center in Louisiana,https://finance.yahoo.com/news/amazon-announces-first-fulfillment-center-174500310.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN12.html
AMZN13,AMZN,"Amazon Announces Two New Fulfillment Centers and New Delivery Station in San Antonio, TX",https://finance.yahoo.com/news/amazon-announces-two-fulfillment-centers-150200322.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN13.html
AMZN14,AMZN,Amazon Delivers the Gift of Football to Prime Members—NFL Holiday Blitz on Prime Video Features Vikings-Saints on Christmas Day Followed by Exclusive Coverage of 49ers-Cardinals on Dec. 26,https://finance.yahoo.com/news/amazon-delivers-gift-football-prime-160000636.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN14.html
AMZN15,AMZN,Amazon Announces First Fulfillment Center in South Dakota,https://finance.yahoo.com/news/amazon-announces-first-fulfillment-center-140300444.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN15.html
AMZN16,AMZN,Amazon Announces New Fulfillment Center in North Little Rock,https://finance.yahoo.com/news/amazon-announces-fulfillment-center-north-151300522.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN16.html
AMZN17,AMZN,"Amazon Offers Customers Free, Convenient and Easy Returns at More Locations This Holiday Season",https://finance.yahoo.com/news/amazon-offers-customers-free-convenient-080100371.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN17.html
AMZN18,AMZN,Twitter Selects AWS as Strategic Provider to Serve Timelines,https://finance.yahoo.com/news/twitter-selects-aws-strategic-provider-140000134.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN18.html
AMZN19,AMZN,Star Alliance Goes All-In on AWS to Invent the Next Era of Air Travel,https://finance.yahoo.com/news/star-alliance-goes-aws-invent-080100894.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN19.html
AMZN20,AMZN,Nationwide Selects AWS as Its Preferred Cloud Provider to Deliver Digital Experiences to Customers,https://finance.yahoo.com/news/nationwide-selects-aws-preferred-cloud-140000166.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN20.html
AMZN21,AMZN,"Amazon Becomes World’s Largest Corporate Purchaser of Renewable Energy, Advancing its Climate Pledge Commitment to be Net-zero Carbon by 2040",https://finance.yahoo.com/news/amazon-becomes-world-largest-corporate-110000938.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN21.html
AMZN22,AMZN,AWS and Arm Demonstrate Production-Scale Electronic Design Automation in the Cloud,https://finance.yahoo.com/news/aws-arm-demonstrate-production-scale-080100467.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN22.html
AMZN23,AMZN,"Unilever, Microsoft, Brooks, Neste, and ITV Are Among 13 More Companies to Join The Climate Pledge",https://finance.yahoo.com/news/unilever-microsoft-brooks-neste-itv-150000716.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN23.html
AMZN24,AMZN,AWS Announces Amazon HealthLake,https://finance.yahoo.com/news/aws-announces-amazon-healthlake-180000012.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN24.html
AMZN25,AMZN,AWS Announces Nine New Amazon SageMaker Capabilities,https://finance.yahoo.com/news/aws-announces-nine-amazon-sagemaker-180000909.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN25.html
AMZN26,AMZN,IMDb Announces Top 10 TV Series of 2020,https://finance.yahoo.com/news/imdb-announces-top-10-tv-160000527.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN26.html
AMZN27,AMZN,Thomson Reuters Taps AWS to Power Digital Transformation,https://finance.yahoo.com/news/thomson-reuters-taps-aws-power-140000131.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN27.html
AMZN28,AMZN,AWS and ViacomCBS Expand Strategic Agreement to Transform Content Creation and Delivery,https://finance.yahoo.com/news/aws-viacomcbs-expand-strategic-agreement-140000989.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN28.html
AMZN29,AMZN,The BMW Group and AWS Team Up to Accelerate Data-Driven Innovation in the Automotive Industry,https://finance.yahoo.com/news/bmw-group-aws-team-accelerate-080100640.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN29.html
AMZN30,AMZN,AWS Announces Plans to Open Second Region in Australia,https://finance.yahoo.com/news/aws-announces-plans-open-second-231300948.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN30.html
AMZN31,AMZN,"Amazon Announces New Fulfillment Center in Missouri City, TX",https://finance.yahoo.com/news/amazon-announces-fulfillment-center-missouri-150300036.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN31.html
AMZN32,AMZN,AWS Announces Partnership with MGM to Modernize its Media Supply Chain,https://finance.yahoo.com/news/aws-announces-partnership-mgm-modernize-140000520.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN32.html
AMZN33,AMZN,Amazon Donates $2.25 Million to The Housing Fund to Help Preserve Homeownership for Hundreds of Nashville Residents Amid Ongoing Challenges of 2020,https://finance.yahoo.com/news/amazon-donates-2-25-million-134500275.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN33.html
AMZN34,AMZN,John Evans consents to termination as a registrant,https://finance.yahoo.com/news/amazon-prime-day-2020-marked-144800165.html,CNW Group,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN34.html
AMZN35,AMZN,Amazon and YETI File Joint Lawsuit against Counterfeiters,https://finance.yahoo.com/news/amazon-yeti-file-joint-lawsuit-183200146.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN35.html
AMZN36,AMZN,Amazon Announces New Fulfillment Center in Oklahoma City,https://finance.yahoo.com/news/amazon-announces-fulfillment-center-oklahoma-150200128.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN36.html
AMZN37,AMZN,Siemens Smart Infrastructure Chooses AWS as Its Preferred Cloud Provider for SAP Environments,https://finance.yahoo.com/news/siemens-smart-infrastructure-chooses-aws-080100311.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN37.html
AMZN38,AMZN,"Uber, Rivian, JetBlue, Cabify, and Boom Supersonic Sign The Climate Pledge",https://finance.yahoo.com/news/uber-rivian-jetblue-cabify-boom-140000407.html,Business Wire,2 months ago,/kellogg/proj/awc6034/Training/empirical_workshop_2021/5_validate/data/yahoo_scrape/AMZN/AMZN38.html
